location;new_cases_smoothed;new_deaths_smoothed;reproduction_rate;positive_rate;people_fully_vaccinated_per_hundred;stringency_index
Singapore;5.857;0.0;1.12;;;50.93
Singapore;5.857;0.0;1.13;;;50.93
Singapore;7.571;0.0;1.08;;;50.93
Singapore;7.857;0.0;1.03;;;50.93
Singapore;8.0;0.0;1.02;;;50.93
Singapore;8.0;0.0;1.02;;;50.93
Singapore;8.143;0.143;1.03;;;50.93
Singapore;7.571;0.143;1.03;;;50.93
Singapore;7.571;0.143;1.03;;;50.93
Singapore;6.429;0.143;1.03;;;50.93
Singapore;5.714;0.143;1.07;;;50.93
Singapore;6.286;0.143;1.1;;;50.93
Singapore;6.143;0.143;1.15;;;50.93
Singapore;7.143;0.0;1.16;;;50.93
Singapore;6.714;0.0;1.19;;;50.93
Singapore;7.857;0.0;1.16;;;50.93
Singapore;8.143;0.0;1.14;;;50.93
Singapore;8.714;0.0;1.13;;;50.93
Singapore;8.286;0.0;1.16;;;50.93
Singapore;9.0;0.0;1.18;;;50.93
Singapore;8.286;0.0;1.21;;;50.93
Singapore;8.571;0.0;1.26;;;50.93
Singapore;7.429;0.0;1.33;;;50.93
Singapore;8.0;0.0;1.37;;;50.93
Singapore;8.857;0.0;1.4;;;50.93
Singapore;11.429;0.0;1.38;;;50.93
Singapore;11.571;0.0;1.37;;;50.93
Singapore;12.857;0.0;1.36;;;50.93
Singapore;14.571;0.0;1.34;;;50.93
Singapore;15.286;0.0;1.32;;;50.93
Singapore;17.143;0.0;1.27;;;50.93
Singapore;18.429;0.0;1.2;;;50.93
Singapore;16.857;0.0;1.17;;;50.93
Singapore;17.571;0.0;1.15;;;50.93
Singapore;16.571;0.0;1.15;;;50.93
Singapore;14.571;0.0;1.2;;;50.93
Singapore;13.857;0.0;1.27;;;50.93
Singapore;11.571;0.0;1.36;;0.0;50.93
Singapore;12.429;0.0;1.41;;0.0;50.93
Singapore;19.143;0.0;1.43;;0.0;50.93
Singapore;21.857;0.0;1.42;;0.0;50.93
Singapore;25.429;0.0;1.39;;0.0;50.93
Singapore;28.143;0.0;1.35;;0.0;50.93
Singapore;31.429;0.0;1.31;;0.0;50.93
Singapore;34.0;0.0;1.27;;0.0;50.93
Singapore;34.857;0.0;1.24;;0.0;50.93
Singapore;29.571;0.0;1.22;;0.0;50.93
Singapore;29.0;0.0;1.2;;0.0;50.93
Singapore;30.0;0.0;1.18;;0.0;50.93
Singapore;29.714;0.0;1.15;;0.0;50.93
Singapore;28.143;0.0;1.13;;0.0;50.93
Singapore;29.143;0.0;1.13;;0.0;50.93
Singapore;30.857;0.0;1.12;;0.0;50.93
Singapore;31.857;0.0;1.09;;0.0;50.93
Singapore;31.143;0.0;1.06;;0.0;50.93
Singapore;29.429;0.0;1.04;;0.0;50.93
Singapore;28.286;0.0;1.03;;0.01;50.93
Singapore;30.143;0.0;1.04;;0.01;50.93
Singapore;30.429;0.0;1.04;;0.01;50.93
Singapore;29.429;0.0;1.03;;0.01;50.93
Singapore;27.286;0.0;1.01;;0.01;50.93
Singapore;25.286;0.0;1.01;;0.01;50.93
Singapore;27.857;0.0;1.05;;0.01;50.93
Singapore;32.143;0.0;1.05;;0.01;50.93
Singapore;29.857;0.0;1.02;;0.01;50.93
Singapore;27.714;0.0;1.01;;0.01;50.93
Singapore;27.143;0.0;1.01;;0.01;50.93
Singapore;28.429;0.0;1.02;;0.03;50.93
Singapore;35.286;0.0;1.02;;0.03;50.93
Singapore;32.571;0.0;0.97;;0.04;50.93
Singapore;30.429;0.0;0.94;;0.07;50.93
Singapore;31.143;0.0;0.89;;0.12;50.93
Singapore;30.143;0.0;0.86;;0.18;50.93
Singapore;28.429;;0.84;;0.26;50.93
Singapore;28.571;0.0;0.83;;0.35;50.93
Singapore;24.0;0.0;0.81;;0.38;50.93
Singapore;23.286;0.0;0.79;;0.4;50.93
Singapore;22.286;0.0;0.77;;0.53;50.93
Singapore;21.143;0.0;0.74;;0.68;50.93
Singapore;20.714;0.0;0.71;;0.83;50.93
Singapore;19.286;0.0;0.69;;0.89;50.93
Singapore;18.286;0.0;0.69;;0.89;50.93
Singapore;15.857;0.0;0.67;;0.89;50.93
Singapore;14.429;0.0;0.67;;0.96;50.93
Singapore;12.571;0.0;0.67;;1.15;50.93
Singapore;11.143;0.0;0.67;;1.4;50.93
Singapore;10.571;0.0;0.7;;1.67;50.93
Singapore;10.429;0.0;0.73;;1.93;50.93
Singapore;9.857;0.0;0.76;;2.18;50.93
Singapore;10.286;0.0;0.78;;2.31;50.93
Singapore;9.857;0.0;0.79;;2.42;50.93
Singapore;10.0;0.0;0.8;;2.63;50.93
Singapore;10.429;0.0;0.81;;2.84;50.93
Singapore;9.857;0.0;0.84;;3.05;50.93
Singapore;9.714;0.0;0.88;;3.22;50.93
Singapore;9.571;0.0;0.93;;3.42;50.93
Singapore;9.571;0.0;0.97;;3.51;50.93
Singapore;9.571;0.0;1.0;;3.56;50.93
Singapore;9.857;0.0;1.03;;3.62;50.93
Singapore;10.429;0.0;1.06;;3.68;50.93
Singapore;12.714;0.0;1.08;;3.73;50.93
Singapore;14.0;0.0;1.06;;3.76;50.93
Singapore;13.429;0.0;1.02;;3.78;50.93
Singapore;13.571;0.0;1.01;;3.79;50.93
Singapore;13.857;0.0;0.99;;3.8;50.93
Singapore;14.0;0.0;0.97;;3.83;50.93
Singapore;13.714;0.0;0.95;;3.86;50.93
Singapore;11.857;0.0;0.94;;3.91;50.93
Singapore;10.286;0.0;0.95;;3.97;50.93
Singapore;10.429;0.0;0.97;;4.06;50.93
Singapore;9.714;0.0;1.0;;4.12;50.93
Singapore;10.286;0.0;1.04;;4.16;50.93
Singapore;10.143;0.0;1.06;;4.26;50.93
Singapore;10.857;0.0;1.07;;4.39;50.93
Singapore;10.714;0.0;1.08;;4.52;50.93
Singapore;11.714;0.0;1.1;;4.66;50.93
Singapore;12.429;0.0;1.12;;4.83;50.93
